filename,caption,tags,notes
AncientHohokamCanal28229.webp,"Hohokam canal, current view","#hohokam_canals, #arizona_history",Photograph of a surviving section of the ancient Hohokam canal network.
FBI_badge.jpg,FBI ID in 1997,#fbi,Example of a period-accurate FBI badge and identification booklet.
HohokamCanalart.jpg,"Hohokam canal, artist's impression","#hohokam_canals, #petroglyphs, #arizona_history",Artist's reconstruction of an active Hohokam canal with associated petroglyphs.
J.-Edgar-Hoover-scaled.jpg,J. Edgar Hoover,#fbi,Director of the FBI from 1924 until his death in 1972.
reference_links.md,Reference Links,,
